instance,hcBest,hcMean,ffaBest,ffaMean
yn1,907,913,901,904
yn2,929,934,922,927
yn3,905,912,899,910
yn4,977,991,978,987
ta01,1254,1264,1248,1248
ta02,1258,1269,1244,1249
ta03,1261,1276,1218,1221
ta04,1185,1213,1181,1186
ta05,1243,1258,1233,1239
ta06,1259,1277,1246,1250
ta07,1250,1255,1228,1236
ta08,1241,1255,1219,1230
ta09,1296,1322,1281,1291
ta10,1277,1291,1244,1262
ta11,1389,1408,1389,1401
ta12,1379,1400,1388,1397
ta13,1381,1400,1361,1376
ta14,1355,1365,1363,1365
ta15,1364,1390,1362,1375
ta16,1375,1399,1375,1381
ta17,1489,1503,1494,1500
ta18,1424,1438,1429,1437
ta19,1380,1400,1343,1372
ta20,1374,1395,1373,1381
ta21,1671,1710,1678,1686
ta22,1634,1649,1632,1640
ta23,1602,1617,1589,1595
ta24,1675,1696,1676,1688
ta25,1634,1651,1625,1642
ta26,1698,1709,1664,1684
ta27,1747,1785,1704,1721
ta28,1647,1668,1627,1645
ta29,1652,1693,1644,1649
ta30,1624,1640,1637,1640
ta31,1766,1766,1793,1805
ta32,1835,1845,1868,1878
ta33,1804,1826,1867,1871
ta34,1844,1873,1888,1919
ta35,2007,2012,2015,2018
ta36,1820,1834,1846,1861
ta37,1795,1801,1841,1852
ta38,1696,1708,1737,1744
ta39,1807,1815,1841,1848
ta40,1703,1718,1737,1750
ta41,2057,2088,2115,2131
ta42,2006,2027,2023,2051
ta43,1915,1930,1959,1978
ta44,2030,2051,2065,2091
ta45,2016,2033,2073,2086
ta46,2064,2100,2109,2135
ta47,1970,1980,2004,2022
ta48,1998,2008,2066,2076
ta49,2010,2026,2060,2081
ta50,1974,1995,2041,2057
ta51,2760,2760,2760,2769
ta52,2756,2756,2756,2772
ta53,2717,2717,2717,2717
ta54,2839,2839,2839,2839
ta55,2679,2679,2719,2730
ta56,2781,2781,2795,2803
ta57,2943,2943,2943,2945
ta58,2885,2885,2885,2885
ta59,2655,2655,2703,2712
ta60,2723,2723,2746,2752
ta61,2868,2868,2984,3000
ta62,2872,2883,3060,3088
ta63,2755,2755,2865,2884
ta64,2702,2702,2813,2836
ta65,2725,2725,2854,2867
ta66,2845,2845,2968,2983
ta67,2826,2826,2949,2968
ta68,2784,2784,2865,2884
ta69,3071,3071,3140,3160
ta70,2995,2995,3144,3169
ta71,5464,5464,5561,5644
ta72,5181,5181,5285,5319
ta73,5568,5568,5728,5741
ta74,5339,5339,5441,5457
ta75,5392,5392,5596,5630
ta76,5342,5342,5489,5503
ta77,5436,5436,5509,5538
ta78,5394,5394,5494,5517
ta79,5358,5358,5432,5459
ta80,5183,5183,5318,5377
swv01,1418,1459,1435,1450
swv02,1485,1509,1495,1498
swv03,1450,1484,1433,1443
swv04,1523,1543,1509,1514
swv05,1494,1533,1466,1470
swv06,1766,1785,1720,1729
swv07,1711,1725,1665,1673
swv08,1879,1902,1809,1819
swv09,1784,1813,1700,1716
swv10,1833,1871,1798,1810
swv11,2997,3021,3143,3155
swv12,3047,3100,3178,3211
swv13,3124,3152,3252,3264
swv14,2979,3003,3048,3074
swv15,2917,2958,3081,3094
swv16,2924,2924,2924,2924
swv17,2794,2794,2794,2794
swv18,2852,2852,2852,2852
swv19,2843,2843,2843,2843
swv20,2823,2823,2823,2823
orb01,1094,1110,1059,1059
orb02,889,902,889,889
orb03,1044,1076,1005,1005
orb04,1020,1037,1005,1006
orb05,890,917,889,889
orb06,1033,1047,1010,1010
orb07,401,405,397,397
orb08,916,935,899,899
orb09,950,970,934,934
orb10,944,985,944,944
la01,666,666,666,666
la02,655,657,655,655
la03,597,602,597,597
la04,590,591,590,590
la05,593,593,593,593
la06,926,926,926,926
la07,890,890,890,890
la08,863,863,863,863
la09,951,951,951,951
la10,958,958,958,958
la11,1222,1222,1222,1222
la12,1039,1039,1039,1039
la13,1150,1150,1150,1150
la14,1292,1292,1292,1292
la15,1207,1207,1207,1207
la16,946,963,945,945
la17,784,785,784,784
la18,848,856,848,848
la19,842,860,842,842
la20,907,925,902,904
la21,1055,1067,1047,1047
la22,927,930,932,933
la23,1032,1032,1032,1032
la24,946,956,938,939
la25,991,1005,977,980
la26,1218,1218,1218,1218
la27,1236,1244,1235,1245
la28,1216,1217,1216,1218
la29,1163,1177,1164,1171
la30,1355,1355,1355,1355
la31,1784,1784,1784,1784
la32,1850,1850,1850,1850
la33,1719,1719,1719,1719
la34,1721,1721,1721,1721
la35,1888,1888,1888,1888
la36,1268,1287,1278,1283
la37,1418,1421,1410,1412
la38,1196,1224,1202,1206
la39,1238,1248,1240,1245
la40,1229,1245,1228,1228
ft06,55,55,55,55
ft10,937,964,930,930
ft20,1165,1169,1165,1165
dmu01,2641,2684,2592,2615
dmu02,2762,2799,2746,2763
dmu03,2816,2853,2814,2827
dmu04,2730,2749,2683,2716
dmu05,2853,2875,2803,2814
dmu06,3276,3332,3289,3310
dmu07,3112,3171,3103,3124
dmu08,3261,3287,3257,3263
dmu09,3176,3242,3164,3178
dmu10,3006,3086,3019,3056
dmu11,3502,3544,3579,3613
dmu12,3542,3558,3642,3673
dmu13,3718,3750,3843,3855
dmu14,3397,3408,3443,3484
dmu15,3343,3350,3386,3397
dmu16,3823,3836,3918,3941
dmu17,3907,3954,4067,4085
dmu18,3867,3936,4055,4067
dmu19,3876,3916,3960,4003
dmu20,3792,3810,3904,3945
dmu21,4380,4380,4442,4451
dmu22,4725,4725,4738,4740
dmu23,4668,4671,4700,4724
dmu24,4648,4648,4669,4669
dmu25,4164,4164,4164,4164
dmu26,4725,4767,4971,5014
dmu27,4848,4848,5201,5210
dmu28,4692,4708,4946,4972
dmu29,4691,4719,4915,4973
dmu30,4749,4775,4976,5030
dmu31,5640,5640,5734,5755
dmu32,5927,5927,5927,5927
dmu33,5728,5728,5728,5728
dmu34,5385,5385,5385,5394
dmu35,5635,5635,5635,5640
dmu36,5621,5621,5996,6046
dmu37,5851,5851,6191,6236
dmu38,5713,5713,6115,6162
dmu39,5747,5747,6025,6043
dmu40,5577,5577,5939,5985
dmu41,3373,3428,3383,3405
dmu42,3525,3586,3455,3507
dmu43,3662,3704,3559,3585
dmu44,3652,3710,3589,3618
dmu45,3368,3454,3387,3396
dmu46,4194,4274,4196,4212
dmu47,4131,4200,4084,4122
dmu48,3957,4028,3941,3955
dmu49,3924,3953,3839,3876
dmu50,3958,4032,3851,3901
dmu51,4406,4468,4513,4550
dmu52,4550,4642,4652,4687
dmu53,4614,4665,4720,4744
dmu54,4580,4649,4709,4747
dmu55,4436,4490,4588,4629
dmu56,5227,5289,5415,5484
dmu57,5044,5090,5152,5181
dmu58,5002,5054,5208,5223
dmu59,4911,4956,5015,5102
dmu60,5065,5124,5247,5293
dmu61,5522,5566,5787,5851
dmu62,5412,5517,5844,5864
dmu63,5503,5620,5948,6025
dmu64,5501,5647,5893,5947
dmu65,5403,5470,5752,5788
dmu66,5951,6051,6543,6592
dmu67,6102,6135,6727,6788
dmu68,6095,6162,6634,6727
dmu69,6016,6115,6638,6673
dmu70,6237,6319,6880,6921
dmu71,6517,6563,7204,7264
dmu72,6703,6792,7481,7511
dmu73,6453,6533,7164,7221
dmu74,6443,6511,7185,7231
dmu75,6547,6644,7154,7224
dmu76,7135,7214,8075,8156
dmu77,7217,7284,8217,8288
dmu78,7119,7218,8099,8210
dmu79,7294,7360,8316,8409
dmu80,6967,7098,8044,8085
abz5,1239,1245,1234,1234
abz6,943,954,943,943
abz7,669,674,665,672
abz8,678,692,674,677
abz9,690,703,689,692
